date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:40:49	292776/292776	---MCZ	200	added ('OK')	application/octet-stream	etag:%22066bb68799bde3a717f0db2ebc43aa3f-ssl-df%22	https://kerrilive.netlify.app/light/fonts/materialdesignicons-webfont.eot?v=2.0.46	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/fonts/materialdesignicons-webfontdf71.eot	(from https://kerrilive.netlify.app/light/css/materialdesignicons.min.css)
14:40:50	292776/292776	---M-Z	200	added ('OK')	application/octet-stream	etag:%22066bb68799bde3a717f0db2ebc43aa3f-ssl-df%22	https://kerrilive.netlify.app/light/fonts/materialdesignicons-webfont.eot?	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/fonts/materialdesignicons-webfontd41d.eot	(from https://kerrilive.netlify.app/light/css/materialdesignicons.min.css)
14:40:50	109248/109248	---M--	200	added ('OK')	font/woff2	etag:%22e7a89385f0a8d6786450a6ba6b1de1aa-ssl%22	https://kerrilive.netlify.app/light/fonts/materialdesignicons-webfont.woff2?v=2.0.46	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/fonts/materialdesignicons-webfontdf71.woff2	(from https://kerrilive.netlify.app/light/css/materialdesignicons.min.css)
14:40:51	144072/144072	---MCZ	200	added ('OK')	application/font-woff	etag:%226c72570d12084848c030c20e37173a12-ssl-df%22	https://kerrilive.netlify.app/light/fonts/materialdesignicons-webfont.woff?v=2.0.46	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/fonts/materialdesignicons-webfontdf71.woff	(from https://kerrilive.netlify.app/light/css/materialdesignicons.min.css)
14:40:51	292556/292556	---M--	200	added ('OK')	font/ttf	etag:%225b57c42d46910c2f53d16ba149a7e403-ssl%22	https://kerrilive.netlify.app/light/fonts/materialdesignicons-webfont.ttf?v=2.0.46	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/fonts/materialdesignicons-webfontdf71.ttf	(from https://kerrilive.netlify.app/light/css/materialdesignicons.min.css)
14:40:52	3154/3154	---MCZ	404	error ('Not%20Found')	text/html	etag:1633357539-ssl-df	https://kerrilive.netlify.app/light/fonts/materialdesignicons-webfont.svg?v=2.0.46	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/fonts/materialdesignicons-webfont.2adf71.delayed	(from https://kerrilive.netlify.app/light/css/materialdesignicons.min.css)
14:40:52	3154/3154	---MCZ	404	error ('Not%20Found')	text/html	etag:1633357539-ssl-df	https://kerrilive.netlify.app/light/css/owl.video.play.png	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/css/owl.video.play.2b.delayed	(from https://kerrilive.netlify.app/light/css/owl.carousel.min.css)
14:40:53	3154/3154	---MCZ	404	error ('Not%20Found')	text/html	etag:1633357539-ssl-df	https://kerrilive.netlify.app/light/fonts/MobiriseIcons.eot?5dqoim	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/fonts/MobiriseIcons.2c73ab.delayed	(from https://kerrilive.netlify.app/light/css/mobiriseicons.css)
14:40:53	54304/54304	---M--	200	added ('OK')	font/ttf	etag:%22cd4d0d236286f37667b6c7853ffcfe4f-ssl%22	https://kerrilive.netlify.app/light/fonts/mobirise.ttf?5dqoim	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/fonts/mobirise73ab.ttf	(from https://kerrilive.netlify.app/light/css/mobiriseicons.css)
14:40:54	54380/54380	---MCZ	200	added ('OK')	application/font-woff	etag:%22e464bc72569764f41d6f06ed52709c10-ssl-df%22	https://kerrilive.netlify.app/light/fonts/mobirise.woff?5dqoim	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/fonts/mobirise73ab.woff	(from https://kerrilive.netlify.app/light/css/mobiriseicons.css)
14:40:54	3154/3154	---MCZ	404	error ('Not%20Found')	text/html	etag:1633357539-ssl-df	https://kerrilive.netlify.app/light/fonts/MobiriseIcons.svg?5dqoim	C:/My%20Web%20Sites/skybluedev%20website/kerrilive.netlify.app/light/fonts/MobiriseIcons.2f73ab.delayed	(from https://kerrilive.netlify.app/light/css/mobiriseicons.css)
